ORG,COMPSS,PITCH,ROLL,CLIFF,LFT,CTR,RHT,LASTLFT,LASTRHT,LFTAVG,RHTAVG,DTURN,DDIR
000,15,-1168,176,81,40,0,40,23134,23134,0,0,0,FWD
101,201,-1200,160,72,40,0,40,23225,23225,0,0,527,SLF
000,40,-3488,7840,82,40,54,40,23942,717,0,717,0,FWD
TOF,76,7440,1408,129,40,20,21,26491,3266,0,3266,1339,1LF
000,153,144,2032,81,25,23,40,28365,1874,0,2570,0,FWD
100,172,-1776,-3760,39,13,27,34,30003,3512,0,3389,643,1LF
000,166,-7264,5136,81,32,36,40,31155,1152,0,2643,0,FWD
100,158,-2944,-1728,86,17,39,40,32066,2063,0,2947,698,1LF
000,309,5408,-3296,86,40,40,40,33272,1206,0,2511,0,FWD
CTG,113,7904,4256,85,40,0,40,38187,6121,0,3740,0,CCT
001,270,-2144,1920,82,40,19,14,40826,8760,0,4400,370,0LF
100,182,-1792,560,85,10,17,33,41306,480,0,3616,370,1LF
000,306,2784,6128,82,28,30,40,41785,479,0,3093,0,FWD
100,303,4288,9456,83,17,18,40,43150,1844,0,3320,480,1LF
000,356,-6784,-16,83,40,85,40,44139,989,0,2987,0,FWD
100,73,-3776,-7248,84,16,25,40,49057,5907,0,3690,370,1RT
101,20,6880,1680,89,15,25,9,480,6387,480,3758,370,0RT
001,341,144,-8800,82,31,20,10,559,6946,519,3838,472,0RT
001,260,-3680,-4832,82,40,35,17,981,7927,673,3978,524,0RT
000,182,-2208,3872,84,40,47,40,1033,8960,763,4126,0,FWD
001,142,-2464,-1632,82,40,28,17,3947,11874,1491,4275,370,0LF
001,220,7088,12992,84,32,29,12,4427,480,1611,3800,558,0LF
010,290,-16,5488,94,19,13,23,5095,668,1778,3452,383,1LF
000,346,-5632,-640,91,20,40,40,6067,972,2021,3204,0,FWD
100,314,384,-7984,86,17,60,40,6158,1063,2044,3213,659,1LF
000,58,-8496,-4352,85,30,40,40,7327,1169,2336,3027,0,FWD
100,10,-1680,1040,77,17,33,40,10514,4356,3005,3317,370,1RT
101,125,-3568,-1088,83,13,25,9,479,4835,2499,3361,370,0RT
001,313,4928,12624,82,31,24,15,560,5395,2176,3411,680,0RT
000,254,-5056,-2768,84,40,39,40,1190,6585,2035,3520,0,FWD
110,289,-1344,3680,84,16,14,35,3376,8771,2347,3718,645,1RT
001,184,5120,-4368,85,40,48,17,754,9525,2148,3787,392,0RT
000,176,1584,3472,84,40,40,40,902,10427,2010,3830,0,FWD
CTG,163,-6528,256,82,40,0,40,5817,15342,2556,3830,370,CLF
000,204,-3216,-4512,83,40,60,40,6276,15801,2607,3830,0,FWD
001,141,6880,3104,82,40,32,14,10282,19807,3021,3830,370,0LF
000,153,6672,3888,83,40,26,40,10762,480,3021,3551,0,FWD
100,215,-5072,-1536,42,13,36,40,11582,1300,3021,3619,370,1LF
100,266,-864,-1008,83,7,37,40,12062,480,3021,3378,692,1LF
000,282,-4928,-4864,82,40,40,40,13263,1201,3021,3222,0,FWD
CTG,294,-2848,-3152,85,40,0,40,18178,6116,3021,3573,370,CRT
000,267,-2208,-2752,85,40,37,40,18638,6576,3021,3606,0,FWD
001,254,-3152,-1216,85,40,23,16,19823,7761,3021,3691,370,0LF
000,249,-2720,-80,89,40,21,38,20303,480,3021,3477,0,FWD
010,309,-1232,-320,84,40,15,35,20576,753,3021,3495,370,1LF
100,235,-1904,-6208,86,13,22,19,21137,561,3021,3311,687,1LF
000,16,-1728,7664,83,40,37,40,22334,1197,3021,3187,0,FWD
100,359,-368,6368,70,17,27,40,23517,2380,3021,3257,423,1LF
000,74,-5968,-1008,81,23,90,40,24450,933,3021,3128,0,FWD
CTG,68,624,-2384,83,40,0,40,29365,5848,3021,3401,370,CRT
000,75,1680,-2448,85,40,45,40,29825,6308,3021,3426,0,FWD
001,70,992,-3072,80,40,26,17,31829,8312,3021,3537,370,0LF
001,48,2832,864,81,40,23,6,32308,479,3021,3376,607,0LF
100,97,-992,-2016,83,7,41,40,33026,718,3021,3244,499,1LF
000,149,7392,-3712,81,40,59,40,34035,1009,3021,3131,0,FWD
CTG,128,2400,-1424,82,40,0,40,38952,5926,3021,3377,370,CLF
100,181,4416,-1456,84,15,58,40,39409,6383,3021,3399,370,1RT
000,175,-3264,6208,85,25,68,40,480,6863,2766,3423,0,FWD
100,162,352,-2112,85,17,26,40,1755,8138,2894,3487,450,1RT
001,119,512,4960,85,21,25,14,559,8697,2682,3515,372,0RT
000,96,-208,-3024,85,40,31,30,883,9580,2532,3559,0,FWD
001,70,-928,-2224,90,27,34,16,3523,12220,2752,3580,633,0RT
000,84,288,-4288,88,40,56,40,1142,13362,2628,3580,0,FWD
CTG,25,1856,-7904,81,40,0,40,6059,18279,3006,3580,370,CRT
000,351,2304,-9648,83,40,40,40,6516,18736,3041,3580,0,FWD
CTG,5,-1296,-7680,83,40,0,40,11068,23288,3309,3580,370,CRT
000,181,1216,-4240,85,40,37,40,11518,23738,3309,3580,0,FWD
010,342,-2128,352,81,40,0,40,13065,25285,3309,3580,370,ART
111,289,-1536,-6400,68,12,15,10,560,25845,3113,3580,959,0RT
000,246,-368,2112,81,40,53,40,1389,27234,2998,3580,0,FWD
001,222,-4592,496,79,40,24,6,4395,30240,3198,3580,370,0LF
100,194,-8224,3856,85,6,16,37,4875,480,3230,3429,370,1LF
000,268,352,7040,82,40,35,40,5756,881,3289,3370,0,FWD
110,243,2144,-3296,81,16,15,40,7304,2429,3392,3447,459,1LF
000,307,-3776,2640,88,40,39,40,8274,970,3457,3057,0,FWD
010,282,-448,7792,85,26,14,22,10095,2791,3572,3148,587,1LF
000,254,-4832,928,84,40,25,22,11272,1177,3572,3183,0,FWD
001,54,-1840,-4160,81,26,30,16,11818,1723,3572,3211,730,0LF
000,188,4016,2096,80,36,29,40,13058,1240,3572,3180,0,FWD
100,25,-1408,912,80,16,29,40,14242,2424,3572,3240,673,1LF
000,147,-3296,-8864,82,40,61,40,15425,1183,3572,2799,0,FWD
CTG,182,-6240,-3424,84,40,0,40,20343,6101,3572,3045,370,CLF
000,121,-10080,288,87,40,36,40,20799,6557,3572,3067,0,FWD
001,158,-2320,-1232,84,23,20,17,21982,7740,3572,3127,370,0LF
100,152,-3280,3136,83,15,18,40,22462,480,3572,3127,370,1LF
000,251,-2096,-7248,85,39,65,40,23343,881,3572,3137,0,FWD
CTG,222,-5344,-11088,82,40,0,40,28259,5797,3572,3383,370,CLF
000,200,-2160,-5456,84,25,44,40,28717,6255,3572,3406,0,FWD
100,228,-736,-7728,81,17,71,40,31267,8805,3572,3533,370,1RT
000,183,-1360,-624,84,34,49,40,480,9285,3379,3557,0,FWD
001,194,2224,-960,80,25,61,11,935,9740,3407,3580,370,0RT
000,228,416,-112,53,30,58,40,480,10220,3235,3593,0,FWD
100,210,-8384,-7808,63,11,38,40,571,10311,3240,3593,419,1RT
100,74,-6432,-9024,88,16,19,30,530,10841,3090,3593,408,1RT
001,120,-5616,-10720,86,40,27,14,518,11359,2954,3593,506,0RT
000,49,-4096,-400,78,40,58,40,1016,12375,2857,3593,0,FWD
TOF,49,-6208,1504,130,40,0,40,5022,16381,3058,3593,1155,ART
000,310,-6736,-704,83,40,58,40,1691,18072,3118,3593,0,FWD
100,303,-6272,7040,82,17,25,40,3876,20257,3227,3593,397,1RT
000,292,-3456,-1248,83,40,25,34,508,20765,3225,3593,0,FWD
001,253,2096,6128,79,40,26,17,781,21038,3239,3593,370,0RT
000,291,-800,2112,84,40,36,40,879,21917,3233,3593,0,FWD
CTG,273,-208,-3632,86,40,0,40,5795,26833,3479,3593,370,CLF
000,172,-2544,-4848,83,31,48,40,6254,27292,3502,3593,0,FWD
100,176,-6688,2912,80,15,19,21,8439,29477,3611,3593,370,1RT
100,267,2896,5744,81,6,25,19,481,29958,3135,3593,716,1RT
000,202,-5744,-704,81,40,40,40,1225,31183,3173,3593,0,FWD
CTG,193,-80,-5920,83,40,0,40,6144,36102,3419,3593,370,CLF
000,345,-1712,704,85,40,40,40,6599,36557,3441,3593,0,FWD
CTG,226,-1600,-3280,82,40,0,40,11153,41111,3612,3593,370,CLF
000,240,-6992,2288,85,40,30,22,11601,41559,3612,3593,0,FWD
001,216,-960,3664,82,40,27,14,12147,42105,3612,3593,370,0LF
000,86,2656,2048,81,18,18,40,12629,482,3612,3564,0,FWD
100,236,9664,-1328,83,14,19,40,12720,573,3612,3569,370,1LF
000,321,-5712,2976,84,31,43,40,13600,880,3612,3113,0,FWD
CTG,334,-7280,9152,82,40,0,40,18517,5797,3612,3359,370,CRT
100,261,208,-4512,83,13,79,40,18973,6253,3612,3381,370,1RT
000,321,1120,1680,88,31,23,40,482,6735,3608,3405,0,FWD
001,257,2768,-6544,92,29,19,17,573,6826,3612,3410,370,0RT
000,80,-3552,-6352,86,40,36,32,880,7706,3487,3454,0,FWD
001,189,-4400,-1376,83,20,23,16,1973,8799,3542,3509,652,0RT
000,166,1200,5072,84,40,16,22,1162,9961,3562,3567,0,FWD
001,165,-3856,-2400,85,40,20,17,1708,10507,3590,3569,557,0RT
000,165,-2784,3088,86,40,40,40,1068,11575,3143,3569,0,FWD
